label	addr	ported_namematch	subsystem
PLAYERCOLONYFLYIN_ISTRAT	$0b86ed	True	ported
PLAYERLTUNNELFLYIN_ISTRAT	$0b85fb	True	ported
PLAYERWASHENT_ISTRAT	$0baa6d	True	ported
PLAYERDIVE2_STRAT	$0b9f20	True	ported
PLAYERUNDERGND_STRAT	$0bbd07	True	ported
PLAYERONCONT_ISTRAT	$0bb9b3	True	ported
PLAYERTURN180_ISTRAT	$0bc80e	True	ported
PLAYERONWATER_ISTRAT	$0bbd3e	True	ported
PLAYERINTOCOCK2_STRAT	$0bcac3	True	ported
PLAYERMOVE_INIT_L	$0bd1fb	True	ported
PLAYERMOVE_INIT	$0bd1ff	True	ported
PLAYERINTOLB1_STRAT	$0b932d	True	ported
PLAYERCLEARDEMO_STRAT	$0b95c0	True	ported
PLAYERONPLANET_STRAT	$0bbbe5	True	ported
PLAYERTUNNELTOONPLANET_STRAT	$0b88fa	True	ported
PLAYEROUTOFLB1_ISTRAT	$0ba529	True	ported
PLAYERCLEARTURN2_STRAT	$0b9e3a	True	ported
PLAYERDIVE_ISTRAT	$0b9e53	True	ported
PLAYERINTOCOCK_ISTRAT	$0bc895	True	ported
PLAYEROUTOFCOCK_ISTRAT	$0bcc93	True	ported
PLAYERMOVE_SROU	$0bd33c	True	ported
PLAYEREXITBASEGO_INIT	$0b9054	True	ported
PLAYERINSPACE_STRAT	$0bb95e	True	ported
PLAYERCLEARCHASE_STRAT	$0b9fc3	True	ported
PLAYEROUTOFLB2_ISTRAT	$0ba6c1	True	ported
PLAYERCLEARSHIP2_ISTRAT	$0b9ad5	True	ported
PLAYERCLEARTURN_ISTRAT	$0b9d6a	True	ported
PLAYERSPEEDSTOP_ISTRAT	$0bc7ec	True	ported
PLAYERDIVE2_INIT	$0b9ef9	True	ported
PLAYERINTOCOCK2_INIT	$0bca47	True	ported
PLAYERINCOLONY_STRAT	$0bc66c	True	ported
PLAYERESCAPENUCLEUS_STRAT	$0b9463	True	ported
PLAYERCLEARCOLONY_STRAT	$0baa4b	True	ported
PLAYERINNUCLEUS_STRAT	$0bc784	True	ported
PLAYERLIMITX_SROU	$0bdf1c	True	ported
PLAYEROPENING_ISTRAT	$0b8000	True	ported
PLAYEROUTOFLB3_ISTRAT	$0ba8fb	True	ported
PLAYERSPACEFLYIN_STRAT	$0b8322	True	ported
PLAYERINSIDESPACEFLYIN_STRAT	$0b8486	True	ported
PLAYERCOLL_ISTRAT	$0be71f	True	ported
PLAYERPLANETFLYIN_STRAT	$0b85c6	True	ported
PLAYERLTUNNELFLYIN_STRAT	$0b86d2	True	ported
PLAYERCOLONYFLYIN_STRAT	$0b87e0	True	ported
PLAYERDIVEGND_STRAT	$0b8ec0	True	ported
PLAYER_ISTRAT	$0bb53c	True	ported
PLAYERNULL_ISTRAT	$0bd060	True	ported
PLAYERONCONT_STRAT	$0bba9f	True	ported
PLAYERONWATER_STRAT	$0bbe1e	True	ported
PLAYEROUTOFLB1_STRAT	$0ba60d	True	ported
PLAYEROUTOFCOCK_STRAT	$0bccea	True	ported
PLAYERCLEARSHIP2_STRAT	$0b9bee	True	ported
PLAYERCLEARTURN_STRAT	$0b9da9	True	ported
